link,text
https://www.tvp.info/68305505/w-holandii-krowy-sikaja-zlotem-tylko-w-specjalnych-toaletach,"W Holandii krowy „sikają złotem”. Tylko w specjalnych toaletach W Holandii powstaje coraz więcej toalet dla krów – informuje dziennik „Algemeen Dagblad”. Mogą one pomóc w rozwiązaniu problemu z emisją szkodliwego tlenku azotu, ale też – jak zauważa gazeta – mogą stać się źródłem zysków dla hodowców bydła. „Krowa sika nowym płynnym złotem?” – tak zatytułował niedawno swój artykuł popularny dziennik Niderlandów. Wykorzystywanie krowiego moczu jako zamiennika sztucznego nawozu nie jest w Holandii niczym nowym. Jednak, jak zauważa „AD”, nie było to dotychczas zjawisko masowe wśród hodowców bydła. To się może zmienić dzięki toaletom dla krów.Toalety są produkowane przez jedną z holenderskich firm. „Toaleta wywołuje u krów naturalny odruch oddawania moczu poprzez lekkie dotknięcie pojemnikiem powyżej wymion; mocz jest natychmiast odsysany przez system” – zachwala producent. Podkreśla, że nie dochodzi do powstawania żadnych emisji. Cenne nawozy„Mocz zawiera azot i potas, a gęsty obornik m.in. fosforany. Dzięki czystemu sposobowi separacji hodowcy i rolnicy mogą nawozić w znacznie bardziej ukierunkowany sposób, co jest niewątpliwie korzystne dla środowiska” – ocenia na łamach dziennika „De Volkanrant” Paul Galama z Wageningen University & Research w Leeuwarden na północy kraju. #wieszwiecejPolub nasRząd premiera Marka Ruttego zdecydował w ubiegłym roku, że Niderlandy do 2030 roku zredukują liczbę emisji tlenku azotu o 70 procent. Media ujawniły ekspertyzy, z których wynika, że konieczna będzie redukcja o jedną trzecią zwierząt hodowlanych w holenderskich fermach. Na tym tle doszło do rolniczych protestów na terenie całego kraju. Blokowane były autostrady, a także centra dystrybucyjne supermarketów.W ubiegły piątek protestowali także rolnicy u południowego sąsiada. Przeszło 2,7 tys. traktorów przyjechało do Brukseli, aby wziąć udział w proteście hodowców bydła chcących wyrazić swoje niezadowolenie z planów rządu we Flandrii, który także dyskutuje nad planami ograniczenia emisji tlenku azotu."
https://www.tvp.info/68303268/plan-chin-piecioprocentowy-wzrost-gospodarczy,"Chiny obniżyły prognozy dotyczące wzrostu gospodarczego Władze Chin wyznaczyły nieco niższy cel rocznego wzrostu gospodarczego w porównaniu z ubiegłorocznymi zamierzeniami. Według Pekinu wzrost chińskiej gospodarki w tym roku ma wynieść około pięciu procent. To o pół punktu procentowego mniej, niż przewidywały prognozy dla ubiegłego roku – podała agencja Reutera, powołując się na raport opublikowany na otwarciu dorocznej sesji chińskiego parlamentu. Ustępujący premier Li Keqiang stwierdził, że konieczne jest nadanie priorytetu stabilności gospodarczej i wezwał do stworzenia w tym roku w miastach około 12 mln miejsc pracy, co oznacza wzrost wobec zeszłorocznego celu, który zakładał powstanie 11 mln nowych miejsc pracy.Czytaj także: Szlaban na sprzedaż cywilnych dronów w sieci. Chiński gigant uderza w RosjanReuters przypomniał, że w ubiegłym roku chińska gospodarka wzrosła zaledwie o trzy proc., co było jednym z najgorszych wyników w ciągu ostatnich dziesięcioleci. Przyczyny takiego stanu rzeczy to przede wszystkim surowe restrykcje dot. koranawirusa, kryzys w sektorze nieruchomości, stłumienie prywatnej przedsiębiorczości i słabnący popyt na chiński eksport. 



  
Cel pięciu procent wzrostu znajdował się na dolnej skali oczekiwań, gdyż – jak zaznacza Reuters – źródła w Pekinie sugerowały, że wzrost PKB może zostać określony na poziomie sześciu procent. Chiński przywódca Xi Jinping powiedział wcześniej, że oficjalnym priorytetem w tym roku jest ożywienie gospodarcze oparte na wydatkach konsumpcyjnych, po zeszłorocznym spadku wzrostu PKB, który był drugim najsłabszym wynikiem od co najmniej lat 70. ubiegłego wieku.Czytaj także: Chiński okręt w pobliżu filipińskiej wyspy. Napięcie na Morzu PołudniowochińskimReuters pisze, że wraz z ustępującym premierem odejdzie wielu innych urzędników, którzy byli zwolennikami polityki gospodarczej zorientowanej na reformy. Ustąpią oni miejsca lojalistom skupionym wokół prezydenta Xi Jinpinga, który na ubiegłorocznym kongresie Komunistycznej Partii Chin zapewnił sobie trzecią kadencję.#wieszwiecejPolub nas"
https://www.tvp.info/68292477/ogromny-wzrost-wplywow-z-vat-ministerstwo-finansow-pokazalo-dane,"Ogromny wzrost wpływów z VAT. Ministerstwo finansów pokazało dane Ministerstwo finansów przygotowało zestawienie wpływów do VAT z lat 2016–2023 z okresem 2008–2015, kiedy władze sprawował rząd PO–PSL. Różnica od razu rzuca się w oczy. Dzięki ograniczeniu luki vatowskiej, a także wzrostowi zamożności Polaków wpływy do budżetu państwa urosły niemal trzykrotnie. W okresie rządów PO–PSL w latach 2007–2015 wpływy do budżetu państwa z tytułu podatku VAT zwiększyły się z 96,35 mld do 123,12 mld złotych.To wzrost dochodów budżetowych o 27,8 proc. O ile wzrosły wpływy z VAT?Odkąd władzę objął obóz Zjednoczonej Prawicy jednym z pierwszych zadań było załatanie luki vatowskiej. Szacuje się, że w okresie rządów koalicji PO–PSL wyniosła ona aż 260 mld złotych.To przełożyło się na bezwzględne liczby.W latach 2016–2022 wpływy wzrosły ze 123,12 mld do 230,48 mld złotych. To przyrost aż o 87,2 proc. 



  
Jeszcze lepiej prezentują się dane przyjęte w prognozie budżetowej na 2023 rok. Z tytułu podatku od towarów i usług do budżetu wpłynie aż 286,3 mld złotych. W porównaniu z 2016 rokiem to wzrost o 132,5 proc. „Przychody za 2023 rok byłyby istotnie wyższe, gdyby nie decyzja o utrzymaniu niższej stawki VAT na żywność” – komentuje resort. Jeszcze większe wrażenie robi zestawienie z 2007 rokiem. Od tego okresu z tytułu VAT do budżetu wpłynęło niemal trzy razy więcej środków.Dlaczego wzrosły wpływy z VAT?PiS znacznie poprawił ściągalność podatku VAT. Według danych Komisji Europejskiej w latach 2016–2020 udało się zmniejszyć lukę vatowską o 9,1 proc. To jeden z najlepszych wyników w UE. W zestawieniu opracowanym przez KE efektywniej wypadła tylko Łotwa.  

 


Tak zmieniły się wpływy z tytułu VAT do budżetu państwa, odkąd władze objął rząd Zjednoczonej Prawicy (fot. mat. pras.)






  
„Wysokie tempo spadku luki VAT to m.in. efekt wprowadzania nowoczesnych narzędzi uszczelniających system podatkowy. Są państwa biorące z nas przykład” – informowało MF.Jak Polska poprawiła ściąganie VAT?Resort pochwalił się swoimi osiągnięciami w egzekwowaniu należnych podatków: „Zreformowaliśmy administrację skarbową, podnieśliśmy kary za przestępstwa VAT-owskie. Ulgę uczciwym przedsiębiorcom, którzy przegrywali konkurencję z podatkowymi przestępcami, przyniosły pakiety paliwowy i przewozowy (SENT). Pojawiały się pionierskie, systemowe rozwiązania, które zaczęły przynosić trwałe skutki. To m.in. mechanizm podzielonej płatności, wykaz podatników VAT i elektroniczne raportowanie. To także kolejne e-usługi administracji, kasy online, kasy w postaci oprogramowania czy e-paragon Stworzyliśmy STIR (System Teleinformatyczny Izby Rozliczeniowej). Teraz kluczem do dalszych efektów w obniżaniu luki VAT jest wykorzystanie nowoczesnych technologii” – przekazało ministerstwo."
https://www.tvp.info/68289222/europejski-dzien-rownych-plac-niemcy-tylko-w-jednej-branzy-kobiety-zarabiaja-wiecej-od-mezczyzn,"Niemcy. Tylko w jednej branży kobiety zarabiają więcej od mężczyzn Sytuacja kobiet na rynku pracy nadal niekorzystna – informuje portal „Deutsche Welle”. Jak wynika z badania przeprowadzonego przez Fundację im. Hansa Böcklera, więcej od mężczyzn zarabiają tylko w usługach pocztowych. Instytut Nauk Ekonomicznych i Społecznych (WSI) poinformował, że w 45 z 46 zbadanych branż kobiety zarabiały w ubiegłym roku mniej niż mężczyźni. „Naukowcy ocenili najnowsze dostępne dane z Federalnego Urzędu Statystycznego i Federalnej Agencji Pracy za lata 2021 i 2022. Według badania mężczyźni we wszystkich sektorach zarabiali w 2022 roku średnio 24,36 euro brutto na godzinę, a kobiety 20,05 euro. Oznacza to różnicę około 18 proc.” – podał portal.Jak wyjaśnia „Deutsche Welle” w zależności od branży ta różnica wahała się od 4 proc. w przewozach pasażerskich i towarowych do 30 proc. w ochronie zdrowia i nawet 32 ​​proc. w doradztwie prawnym i podatkowym.„Jedynym wyjątkiem były usługi pocztowe. Stawka godzinowa dla kobiet w tym sektorze wynosiła 16,26 euro, czyli o dwa procent więcej niż w przypadku mężczyzn (15,93 euro). »Szklany sufit« jest nadal również na stanowiskach menadżerskich. W 26 z 34 branż, dla których dostępne były dane, kobiety rzadziej zajmowały stanowiska kierownicze niż mężczyźni” – informuje portal.Zobacz też: Polki w branży IT zarabiają mniej niż mężczyźni, ale... symbolicznie mniej"
https://www.tvp.info/68289414/moskwa-nie-planuje-naprawy-nord-stream-1-i-2-projekt-uwaza-za-pogrzebany,"Moskwa nie planuje naprawy Nord Stream 1 i 2. Projekt uważa za „pogrzebany” Gazociągi Nord Stream 1 i Nord Stream 2 pozostaną zamknięte; w przewidywalnej przyszłości nie ma planów ich naprawy i uruchomienia – poinformowała agencja Reutera, powołując się na źródła zaznajomione z rosyjskimi planami. Nord Stream 1 i Nord Stream 2, każdy składający się z dwóch rurociągów, zostały zbudowane przez rosyjski koncern Gazprom. Miały pompować pod Bałtykiem do Niemiec 110 mld metrów sześciennych gazu ziemnego rocznie. 26 września w rurociągach stwierdzono gwałtowny spadek ciśnienia i wyciek gazu. Szybko okazało się, że doszło do trzech eksplozji, które spowodowały rozległe uszkodzenia. W połowie listopada szwedzka prokuratura podała, że na uszkodzonych gazociągach odnaleziono ślady materiałów wybuchowych.Naprawy nie będzieGazprom poinformował, że naprawa uszkodzonych nitek jest technicznie możliwa, jednak – jak przekazał Reuters – źródła zaznajomione z rosyjskimi planami przekazały, że Moskwa nie widzi szans na wystarczającą poprawę stosunków z Zachodem i w dającej się przewidzieć przyszłości rurociągi nie będą potrzebne. #wieszwiecejPolub nasJedno z rosyjskich źródeł agencji Reutera przekazało, że Rosja postrzega projekt jako „pogrzebany”. W ocenie dwóch innych źródeł pomimo braku planów naprawy, niewykluczona jest ich ewentualna reaktywacja w przyszłości. Wymagałoby to uszczelnienia uszkodzonych końców i umieszczenia w rurach specjalnej powłoki, aby zapobiec ich dalszej korozji spowodowanej wodą morską.Kto stoi za eksplozją?Moskwa utrzymuje, nie dostarczając dowodów, że za zniszczenie gazociągów odpowiedzialne są kraje Zachodu, z kolei Zachód oskarża Rosję o sabotaż. Nadal trwają śledztwa w sprawie eksplozji, prowadzone przez Danię, Niemcy i Szwecję."
https://www.tvp.info/68280509/wzrosty-kursow-akcji-na-amerykanskiej-gieldzie-wall-street,"Na Wall Street wreszcie wzrosty głównych indeksów akcji Piątkowa sesja na Wall Street zakończyła się wzrostami głównych indeksów. DJI poszedł w górę o blisko 390 punktów, przerywając czterotygodniową serię spadków. Inwestorzy liczą, że to początek dobrego trendu. – Wydaje się, że jesteśmy w fazie przeciągania liny na rynku między tematem ponownego otwarcia gospodarki Chin, co w zasadzie oznacza podwyższenie prognoz globalnego wzrostu PKB, a ponowną wyceną wyższych stóp proc. w USA – powiedział Vasileios Gkionakis, europejski szef strategii walutowej w Citi.Czytaj także: Szlaban na sprzedaż cywilnych dronów w sieci. Chiński gigant uderza w RosjanCzłonek FOMC Christopher J. Waller wskazywał na możliwość wyższego od oczekiwań docelowego przedziału stóp proc. w USA, jeśli inflacja nie zacznie trwale spadać, powołując się na zacieśniony rynek pracy. W czwartek prezes Rezerwy Federalnej z Atlanty Raphael Bostic powiedział, że „zdecydowanie” opowiada się za utrzymaniem podwyżek o ćwierć punktu procentowego.Czytaj także: Bezrobocie w UE. Polska z jednym z najniższych wynikówRynek ropy zareagował w piątek spadkami na informację Wall Street Journal o tym, że w ZEA trwa wewnętrzna debata o wyjściu z OPEC. Źródło Reutera zaprzeczyło jednak tym doniesieniom i rynek powrócił do wzrostów.#wieszwiecejPolub nas"
https://www.tvp.info/68272392/tym-razem-tusk-uderza-w-program-mieszkanie-plus,"Tym razem Tusk uderza w program Mieszkanie Plus. PFR prostuje kłamstwa Czynsz najmu mieszkania 50 mkw. w Mińsku Mazowieckim w programie Mieszkanie Plus wynosi 1685 zł, to o ok. 30 proc. taniej niż na rynku komercyjnym – poinformował na Twitterze Polski Fundusz Rozwoju, odnosząc się do wypowiedzi Donalda Tuska w tej sprawie. W piątek lider PO Donald Tusk spotkał się z panią Edytą z Mińska Mazowieckiego, która wynajmuje mieszkanie w ramach rządowego programu Mieszkanie Plus. Jak powiedział szef PO na konferencji prasowej, od stycznia opłaty pani Edyty – matki samotnie wychowującej dzieci – wzrosły o 400 zł miesięcznie.– To mieszkanie jest droższe niż mieszkania komercyjnie wynajmowane w Mińsku Mazowieckim – powiedział Tusk. Dodał, że „tak się dzieje wszędzie, to dotyczy praktycznie wszystkich, blisko 20 tysięcy rodzin w kraju”. Jego zdaniem korzystający z programu Mieszkanie Plus są raczej jego ofiarami niż beneficjentami.PFR odpowiada TuskowiW odpowiedzi na słowa szefa PO Polski Fundusz Rozwoju napisał na Twitterze, że prostuje nieprawdziwe informacje przekazywane w mediach przez polityków. „Czynsz najmu mieszkania 50 m2 w prog. PFR Nieruchomości w Mińsku Maz. wynosi 1685 zł. To wraz z dopłatami do czynszu ok. 30 proc. zł taniej niż na rynku komercyjnym. To oznacza do 6 tys. zł więcej w portfelu najemców rocznie” – podano.  



  
Jak dodano, mieszkania w Mińsku Maz. są zaplanowane w formule dojścia do własności (DDW), podobnie jak inne inwestycje PFR Nieruchomości, w których dojście do własności zapowiedziano.W połowie lutego Polski Fundusz Rozwoju i PFR Nieruchomości ogłosiły zasady wsparcia finansowego dla wszystkich mieszkańców osiedli wybudowanych w ramach rynkowej części rządowego programu mieszkaniowego.Wsparcie dla mieszkańcówZapowiedziano, że obecnie oferowana stawka czynszu oraz kaucja nie będą podlegać waloryzacji o wskaźnik inflacji do końca 2025 r. Dzięki temu przeciętna kwota oszczędności dla budżetu domowego najemcy ma wynieść nieco ponad 5 tys. zł. Dodatkowym wsparciem ma być zwrot kaucji w wysokości jednomiesięcznego czynszu, który będzie dotyczył wszystkich najemców osiedli Funduszu Mieszkań dla Rozwoju. Średnio dla najemcy będzie to 1500 zł oszczędności.PFR Nieruchomości SA podkreśliły, że jako jedyna na polskim rynku spółka – oferuje umowy najmu ze stopniowym dochodzeniem do własności. Z tej oferty korzystają już najemcy w Białej Podlaskiej, a w najbliższym czasie ma zostać ona zaproponowana mieszkańcom osiedla w Gdyni przy ul. Puszczyka. „Umowy najmu instytucjonalnego z dojściem do własności zostaną także zaoferowane wszystkim najemcom inwestycji, w których ta opcja została zadeklarowana, czyli w Krakowie, w Radomiu, w Katowicach, w Dębicy, w Świdniku, w Łowiczu, w Mińsku Mazowieckim, w Nowym Targu, w Wałbrzychu, we Wrześni i w Zamościu” – podano w komunikacie spółki."
https://www.tvp.info/68270122/zakaz-sprzedazy-cywilnych-dronow-w-sieci-chinski-gigant-uderza-w-rosjan,"Szlaban na sprzedaż cywilnych dronów w sieci. Chiński gigant uderza w Rosjan Rosyjskie media informują, że od czwartku, 2 marca, Rosjanie nie mogą kupić dronów firm DJI i Autel na chińskim portalu internetowym AliExpress. Z kolei te, które zostały już zakupione, będą miały ograniczoną funkcjonalność – relacjonuje portal belsat.eu. Portal, powołując się m.in. na ukraińskie źródła, podaje, że chociaż karty produktów pozostają w rosyjskiej wersji chińskiej platformy, to po przejściu do sklepu pojawia się i komunikat: „Ta strona nie istnieje”. Ponadto firma DJI usunęła mobilne oprogramowanie do sterowania dronami z rosyjskiej wersji AppStore (sklep mobilny Apple).Od czwartku Rosjanie nie mogą kupić na AliExpress dronów, baterii, futerałów, gogli, niektórych części i akcesoriów powyższych marek. W przypadku niektórych zakupionych już dronów producenci wprowadzili ograniczenie wysokości lotu – ale prawdopodobnie można je obejść po instalacji odpowiedniego oprogramowania – zauważa belsat.eu.Drony te były wcześniej wykorzystywane przez Rosjan na Ukrainie do celów rozpoznawczych i dywersyjnych. Użytkownicy z Ukrainy nadal mogą je nabywać.Portal zebrał opinie ekspertów na temat tego posunięcia. Część z nich uważa, że niektórzy rosyjscy użytkownicy prawdopodobnie odmówią zakupu chińskich dronów, ponieważ ceny na AliExpress są znacznie niższe niż w sklepach detalicznych. Jednak nabywcy hurtowi raczej nie odczują skutków zakazu, ponieważ mają innych dostawców. 



  
Dmitrij Korniew, rosyjski ekspert wojskowy i założyciel portalu Military Russia, cytowany przez belsat.eu twierdzi, że drony DJI Mavic są aktywnie wykorzystywane w wojnie na Ukrainie do rekonesansu. Analityk zasugerował, że zagraniczni partnerzy naciskali na chińskie władze lub samą firmę DJI, by zaprzestała ich dostaw do Rosji. „Chińczycy już dawno przestali oficjalnie sprzedawać takie drony, ale teraz uniemożliwiają także ich wykorzystanie w działaniach zbrojnych” – czytamy.DJI wstrzymała dostawy swoich dronów do Rosji i Ukrainy w kwietniu. Firma oznajmiła, że jest przeciwna ich wykorzystywaniu w walce. Przyznała jednak, że nie może całkowicie zastopować sprzedaży przez inne podmioty na rynku."
https://www.tvp.info/68271034/bezrobocie-w-krajach-unii-europejskiej-polska-z-jednym-z-najnizszych-wynikow,"Bezrobocie w UE. Polska z jednym z najniższych wyników Według danych Eurostatu Polska jest europejskim wiceliderem pod względem najniższego bezrobocia. Stopa bezrobocia w Polsce, po uwzględnieniu czynników sezonowych, wyniosła w styczniu 2,8 proc. wobec 2,9 proc. w grudniu ub. roku – podało Ministerstwo Rodziny i Polityki Społecznej. – Unijny urząd statystyczny po raz kolejny potwierdza dobrą i stabilną sytuację na naszym rynku pracy. To niewątpliwy sukces, który zawdzięczamy odpowiedniej polityce rządu Zjednoczonej Prawicy. Osiągnęliśmy drugi najlepszy wynik w Unii Europejskiej, wyprzedzają nas jedynie Czechy z wynikiem 2,5 proc. Jak już wielokrotnie udowodniliśmy, potrafimy mierzyć się ze światowymi kryzysami – powiedziała cytowana w rządowym komunikacie minister rodziny i polityki społecznej Marlena Maląg. Jak zwróciła uwagę szefowa resortu, „pandemia, jaka dotknęła cały świat, w wielu krajach doprowadziła do niewyobrażalnego bezrobocia, my wyszliśmy z niej obronną ręką”. – Kolejną próbą była wojna na Ukrainie. Zdaliśmy egzamin z człowieczeństwa, zapewniając obywatelom tego kraju zatrudnienie, jednocześnie chroniąc polski rynek pracy – zaznaczyła Maląg. Stopy bezrobocia w krajach UE Po Czechach i Polsce na liście – pod względem stopy bezrobocia – znajdują się Niemcy i Malta – po 3 proc., Słowenia – 3,2 proc. Krajem z najwyższym wskaźnikiem bezrobocia – 13 proc. – jest Hiszpania. Dwucyfrowy wynik – 10,8 proc. osiągnęła ponownie Grecja, jednak stopa bezrobocia w tym kraju spadła z 12,4 proc. w grudniu 2022 r. W całej Unii Europejskiej stopa bezrobocia wyniosła 6,1 proc.    

 


(fot. mat pras.)"
https://www.tvp.info/68268733/prezydent-andrzej-duda-czeka-na-propozycje-instytucji-panstwowych-ws-kredytow-frankowych,"Prezydent Andrzej Duda czeka na propozycje instytucji państwowych ws. kredytów frankowych Prezydent wypowiedział się o kredytach frankowych. – Nie toczą się obecnie żadne prace w Kancelarii Prezydenta RP nad ustawą dotyczącą kredytów frankowych. Wiem, bo prowadziłem rozmowy, że takie prace i dyskusje koncepcyjne toczą się w różnych innych instytucjach państwa – powiedział dziennikarzom w przerwie XXIII Konferencji Rynku Kapitałowego w Bukowinie Tatrzańskiej prezydent Andrzej Duda.Dodał, że jest wstępnie umówiony na ten temat z przedstawicielami kilku instytucji. – Oni chcą przedstawić różne rozwiązania koncepcyjne, nad którymi się pracuje w tej chwili – mówił prezydent Duda.Jego zdaniem takie spotkanie „pewnie będzie w najbliższym czasie”.Konferencja Rynku Kapitałowego w Bukowinie Tatrzańskiej to coroczne spotkanie przedstawicieli rynku kapitałowego – inwestorów, spółek giełdowych, domów maklerskich, banków, organów rządowych, giełd i instytucji rozliczeniowych, organizacji biznesowych i samorządowych.Tegoroczna konferencja odbywa się pod hasłem Uczestnicy rynku kapitałowego wobec wyzwań współczesnej gospodarki."
